flex_mnozstvi_+,flex_obchod_+,flex_cena_+,flex_mnozstvi_-,flex_obchod_-,flex_cena_-
22175.856,4203.524,0.01,-55135.769,-329.325,0.01
30214.847,1982.255,0.01,-49255.91,-1043.213,0.01
50795.133,1225.04,0.01,-30647.622,-4215.356,0.01
62773.634,1150.0,0.01,-17459.584,-480.374,0.01
64927.397,1000.0,0.01,-19162.833,-4845.82,0.01
40806.28,677.037,0.01,-37836.385,-27.928,0.01
40558.634,10.201,0.01,-34261.453,-80.678,0.01
43124.859,8.869,0.01,-33445.247,-1396.918,0.01
50933.02,61.867,0.01,-28249.34,-3353.803,0.01
59790.008,0.0,0.0,-21404.816,-3298.134,0.01
44956.718,2183.211,0.01,-34104.074,-1382.811,0.01
43623.05,3443.227,0.01,-36641.604,-911.53,0.01
14546.841,4369.213,0.15,-63334.564,-400.0,0.01
15483.132,3554.954,0.1,-61932.675,-100.0,0.01
24356.639,2300.582,0.01,-52448.051,-4.766,0.01
33963.719,1951.172,0.01,-43581.183,-1.7,0.01
26591.059,2527.698,0.01,-51221.453,-17.714,0.01
32269.218,4856.757,0.01,-49089.212,-1423.814,0.01
30945.297,3072.609,0.01,-47560.349,-435.278,0.01
49115.345,664.115,0.01,-28655.126,-2045.721,0.01
34183.698,1246.391,0.01,-40176.932,-536.059,0.01
43879.49,1566.982,0.01,-32051.381,-1664.59,0.01
69369.402,450.0,0.01,-16067.948,-1997.955,5.0
45257.222,816.997,0.01,-33064.043,-2247.139,0.01
51475.567,28.928,0.01,-27955.907,-3117.764,0.01
43262.677,1195.895,0.01,-33772.09,-923.668,0.01
39044.004,1675.399,0.01,-38806.561,-1044.472,0.01
29005.594,1736.052,0.12,-50718.218,-879.904,0.01
44752.107,1306.291,0.01,-31477.124,-2159.628,0.01
50242.242,1139.554,0.01,-29725.897,-1892.373,0.01
38104.277,1882.316,0.01,-44571.555,-4260.028,0.01
31378.408,362.929,0.01,-45614.7,-1682.506,0.01
40863.032,1126.648,0.01,-37064.407,-1484.045,0.01
51297.847,968.392,0.01,-26209.07,-1000.019,0.01
24403.926,3326.234,0.01,-52258.621,-900.019,0.01
17665.481,5851.796,0.01,-63465.148,-800.0,0.01
34348.618,1668.997,0.01,-45182.788,-1899.242,0.01
51206.221,5.172,0.01,-30975.19,-5635.541,0.05
25051.175,2119.414,0.01,-54812.819,-1259.611,0.01
27436.252,173.336,0.01,-50969.558,-1589.615,0.01
34824.579,1367.789,0.01,-44864.385,-1654.867,0.01
47701.106,29.748,0.01,-31785.434,-2904.153,0.01
36444.281,1169.899,0.01,-46985.328,-5018.823,0.01
50009.259,157.44,0.01,-30712.28,-3566.828,0.01
65921.868,0.0,0.0,-16982.956,-3867.803,0.1
55552.563,291.975,0.01,-29407.381,-2354.263,5.0
45521.568,3644.379,0.01,-35276.294,-1246.339,0.01
47260.678,1307.748,0.01,-35629.535,-4188.939,0.01
42907.821,364.342,0.01,-31891.683,-603.89,0.01
22417.185,2509.09,0.01,-55378.01,-183.683,0.01
10679.243,5077.527,1.0,-70602.026,-43.716,0.01
26701.123,2152.093,0.01,-51777.174,-2704.692,0.01
28775.817,1042.091,0.01,-49509.622,-333.643,0.01
47023.444,1586.204,0.01,-32067.097,-56.45,0.01
49385.921,1527.6,0.01,-28345.105,-665.873,0.01
73155.205,2474.91,0.01,-15648.355,-1083.213,0.01
71542.981,13219.776,0.01,-40599.706,-21324.71,1.0
89294.158,3286.706,0.01,-28026.974,-6970.961,9.94
32442.41,2361.524,0.01,-65088.664,-3429.797,0.01
19152.21,4257.129,0.01,-59456.221,-428.801,0.01
33813.757,3914.384,0.01,-47429.813,-894.754,0.01
53847.894,2100.0,0.01,-28167.22,-4216.594,0.01
51840.799,1200.0,0.01,-25465.874,-1724.526,0.01
40976.92,8917.355,0.01,-43908.619,-2407.276,0.01
43064.803,3822.957,0.01,-36503.288,-1456.14,0.01
54075.569,11200.761,0.01,-35469.697,-2090.331,0.01
48850.53,3594.0,0.01,-36162.814,-611.391,0.01
15942.696,9631.206,3.0,-68396.71,-344.414,0.01
